Firmware v0.1
<timeMS>, <accelX>, <accelY>, <accelZ>, <gyroX>, <gyroY>, <gyroZ>, <magX>, <magY>, <magZ>
7996, 0.51, 0.84, -0.30, -72.62, -7.44, -5.49, -62.12, -19.95, -4.65
8005, 0.46, 0.86, -0.28, -52.68, -9.15, -9.27, -62.12, -20.56, -6.75
8014, 0.46, 0.82, -0.29, -22.32, -11.89, -8.23, -60.47, -21.16, -5.25
8022, 0.49, 0.82, -0.28, 5.43, -13.48, -9.21, -60.02, -19.65, -4.80
8031, 0.48, 0.82, -0.27, 23.84, -14.94, -11.77, -61.52, -20.41, -4.80
8040, 0.46, 0.88, -0.23, 21.28, -13.54, -19.39, -60.62, -21.01, -6.00
8049, 0.48, 0.86, -0.27, 9.21, -12.07, -9.02, -62.12, -18.75, -6.00
8057, 0.50, 0.89, -0.26, -4.94, -8.29, -8.90, -61.37, -20.56, -5.40
8066, 0.50, 0.86, -0.27, -4.70, -8.48, -8.60, -61.37, -20.56, -5.40
8075, 0.50, 0.85, -0.22, -3.78, -6.10, -11.65, -63.02, -20.41, -3.45
8138, 0.53, 0.85, -0.26, -12.26, -4.21, -14.63, -61.07, -18.30, -2.70
8147, 0.50, 0.95, -0.26, -19.76, -0.06, -17.13, -61.82, -19.35, -5.85
8156, 0.49, 0.91, -0.27, -26.59, 1.71, -13.96, -61.82, -19.35, -5.85
8165, 0.47, 0.88, -0.26, -31.04, 1.46, -12.50, -60.17, -19.20, -4.95
8173, 0.46, 0.87, -0.29, -25.85, -0.06, -13.48, -61.07, -17.85, -5.85
8182, 0.45, 0.85, -0.28, -16.59, -0.18, -13.72, -60.02, -19.65, -5.55
8191, 0.43, 0.85, -0.29, -0.61, -2.62, -15.49, -61.82, -18.60, -4.80
8200, 0.44, 0.85, -0.29, 17.80, -2.87, -12.87, -62.27, -18.90, -3.75
8208, 0.45, 0.86, -0.28, 28.78, -5.12, -13.72, -60.47, -18.30, -4.80
8217, 0.45, 0.85, -0.25, 38.23, -7.13, -13.72, -62.12, -18.75, -4.65
8226, 0.47, 0.88, -0.23, 30.55, -6.71, -12.56, -62.12, -18.75, -4.65
8235, 0.48, 0.89, -0.24, 11.52, -3.78, -9.33, -62.57, -18.90, -5.85
8243, 0.47, 0.89, -0.23, -0.85, -1.59, -8.35, -62.72, -19.20, -4.65
8252, 0.46, 0.91, -0.25, -7.13, -1.28, -7.93, -62.42, -17.70, -5.40
8286, 0.46, 0.91, -0.25, -11.71, 0.06, -6.46, -60.92, -19.95, -4.95
8295, 0.46, 0.94, -0.25, -18.29, 1.77, -5.18, -60.92, -19.50, -4.35
8304, 0.46, 0.91, -0.27, -24.02, 2.99, -4.27, -63.32, -17.85, -4.80
8313, 0.45, 0.90, -0.29, -17.38, 3.17, -5.91, -60.92, -18.00, -4.95
8321, 0.44, 0.88, -0.26, -5.24, 1.40, -7.13, -63.32, -17.55, -4.20
8330, 0.44, 0.86, -0.25, 4.27, -0.12, -7.99, -64.07, -18.30, -3.75
8339, 0.44, 0.84, -0.22, 15.79, -1.71, -10.06, -62.72, -18.00, -3.30
8347, 0.44, 0.84, -0.21, 21.46, -3.17, -11.10, -63.02, -16.35, -3.00
8356, 0.45, 0.86, -0.21, 13.66, -2.32, -10.61, -63.02, -16.35, -3.00
8365, 0.45, 0.90, -0.23, 0.73, 0.06, -8.84, -63.92, -17.70, -4.35
8374, 0.44, 0.89, -0.23, -11.04, 0.79, -6.83, -64.22, -17.70, -3.30
8382, 0.44, 0.92, -0.24, -22.50, 1.65, -5.43, -63.32, -18.30, -3.45
8391, 0.45, 0.93, -0.26, -30.55, 3.48, -4.21, -63.47, -17.25, -4.35
8400, 0.45, 0.94, -0.26, -28.78, 4.02, -4.09, -63.92, -17.70, -4.95
8430, 0.45, 0.93, -0.28, -25.49, 5.00, -3.78, -62.42, -16.95, -3.60
8439, 0.44, 0.90, -0.26, -17.93, 4.94, -5.43, -62.42, -18.00, -2.85
8447, 0.43, 0.88, -0.27, -7.38, 2.93, -8.17, -63.17, -18.45, -2.85
8456, 0.43, 0.87, -0.26, 4.88, 1.83, -11.22, -63.17, -18.45, -2.85
8465, 0.43, 0.88, -0.23, 15.00, -0.24, -12.93, -63.32, -17.85, -3.45
8473, 0.44, 0.88, -0.24, 20.61, -0.85, -12.74, -64.67, -18.45, -2.25
8482, 0.42, 0.90, -0.24, 24.57, 0.06, -11.77, -65.12, -17.85, -3.75
8491, 0.42, 0.92, -0.24, 27.93, -0.43, -11.22, -62.72, -17.25, -2.55
8500, 0.44, 0.95, -0.26, 17.87, 0.06, -6.40, -64.22, -16.95, -3.90
8508, 0.44, 0.95, -0.21, -2.93, 3.48, -1.52, -64.67, -16.20, -2.25
8517, 0.46, 0.94, -0.22, -34.33, 8.17, 3.41, -63.62, -16.80, -2.70
8526, 0.44, 0.92, -0.23, -47.62, 15.24, 5.06, -63.62, -16.80, -2.70
8535, 0.44, 0.91, -0.25, -43.29, 15.61, 2.87, -63.47, -18.75, -3.30
8543, 0.44, 0.89, -0.23, -31.16, 11.89, 0.98, -63.02, -17.10, -4.20
8578, 0.42, 0.88, -0.22, -16.10, 11.65, -0.73, -63.02, -18.30, 0.15
8587, 0.41, 0.87, -0.23, 0.06, 10.91, -2.87, -62.27, -17.10, -1.35
8595, 0.42, 0.88, -0.23, 12.07, 10.18, -5.06, -62.27, -17.10, -1.35
8604, 0.42, 0.90, -0.20, 16.89, 10.85, -5.00, -64.22, -17.25, -0.75
8613, 0.41, 0.95, -0.17, 23.90, 10.61, -4.39, -64.22, -18.75, -1.50
8622, 0.42, 0.90, -0.15, 36.34, 13.72, 1.04, -63.47, -17.25, -0.75
8630, 0.40, 0.89, -0.19, 31.95, 18.23, 2.07, -62.57, -18.90, 0.15
8639, 0.47, 0.93, -0.10, 4.15, 24.45, 0.18, -65.57, -17.10, -0.60
8648, 0.46, 0.91, -0.19, -15.49, 10.30, 4.57, -65.72, -17.70, -1.50
8657, 0.47, 0.94, -0.20, -31.95, 9.09, 2.68, -64.67, -18.00, -0.45
8665, 0.44, 0.97, -0.23, -41.16, 13.11, 2.44, -64.67, -18.00, -0.45
8674, 0.44, 0.93, -0.24, -43.35, 18.05, 1.16, -63.92, -17.70, -0.45
8683, 0.43, 0.90, -0.24, -31.40, 16.89, -1.10, -65.12, -17.10, 0.15
8692, 0.44, 0.89, -0.21, -16.34, 13.11, -3.90, -64.37, -18.60, -0.30
8726, 0.45, 0.88, -0.17, -13.41, 12.13, -5.55, -65.27, -18.00, 1.35
8735, 0.43, 0.90, -0.16, -18.90, 10.79, -5.06, -65.27, -18.00, 0.30
8744, 0.41, 0.86, -0.05, -18.23, 17.13, -6.22, -63.92, -18.00, 0.60
8753, 0.41, 0.86, -0.11, -12.99, 4.63, -4.82, -63.92, -19.95, 1.05
8761, 0.42, 0.88, -0.04, -19.57, 2.32, -1.40, -65.27, -18.00, 0.00
8770, 0.50, 0.78, -0.16, -17.56, 20.24, 1.83, -63.17, -18.00, -1.50
8779, 0.40, 0.81, -0.07, 8.60, 30.12, 2.87, -64.37, -17.85, 0.15
8787, 0.42, 0.85, -0.12, 11.95, 12.38, -0.24, -64.82, -18.30, 0.45
8796, 0.44, 0.91, -0.14, 6.59, 9.51, -1.22, -64.82, -18.30, 0.45
8805, 0.45, 0.91, -0.17, 1.04, 13.29, 0.24, -64.82, -18.30, -0.60
8814, 0.45, 0.93, -0.22, 3.90, 11.95, -1.95, -63.32, -18.30, 0.45
8822, 0.37, 0.92, -0.24, 8.17, 10.85, -2.74, -64.22, -18.75, -0.45
8831, 0.47, 0.91, -0.17, 10.18, 14.51, -1.89, -64.37, -19.65, 0.45
8840, 0.48, 0.92, -0.17, 10.49, 14.76, -2.68, -63.47, -17.70, 0.30
8848, 0.47, 0.91, -0.18, 12.07, 15.06, -1.71, -63.62, -17.55, -0.60
8883, 0.47, 0.93, -0.17, 17.44, 15.85, -1.65, -64.67, -16.65, 0.60
8892, 0.48, 0.96, -0.15, 20.91, 15.30, -1.95, -62.57, -17.10, 1.20
8901, 0.48, 0.94, -0.17, 13.05, 15.49, -1.95, -63.92, -16.20, -0.75
8909, 0.45, 0.92, -0.19, 8.05, 13.72, -2.50, -64.22, -18.00, 0.30
8918, 0.45, 0.90, -0.18, 10.06, 11.95, -4.15, -65.27, -19.20, -1.50
8927, 0.45, 0.91, -0.19, 10.06, 9.27, -4.76, -64.97, -18.45, -0.45
8936, 0.45, 0.90, -0.19, 8.60, 7.56, -5.18, -64.97, -18.45, -0.45
8944, 0.44, 0.89, -0.20, 9.82, 6.28, -6.16, -64.82, -18.60, 0.15
8953, 0.42, 0.88, -0.19, 17.44, 4.27, -6.83, -64.82, -18.30, 0.15
8962, 0.43, 0.89, -0.19, 32.13, 3.35, -7.20, -65.12, -16.35, 0.45
8970, 0.43, 0.93, -0.13, 22.32, 3.05, -5.67, -64.37, -17.55, 0.75
8979, 0.43, 0.92, -0.16, -8.66, 4.33, -1.83, -65.57, -17.55, 1.80
8988, 0.41, 0.89, -0.19, -15.24, 5.37, -1.10, -63.92, -17.70, 1.05
8996, 0.40, 0.87, -0.20, -3.23, 3.29, -1.95, -64.97, -18.00, 44.71
9005, 0.44, 0.93, -0.15, 0.06, 2.13, -1.10, -64.97, -18.00, -0.45
9040, 0.45, 0.94, -0.18, -19.02, 4.63, 2.44, -63.32, -16.35, 1.20
9048, 0.43, 0.93, -0.20, -28.41, 6.83, 2.26, -63.32, -17.55, 0.75
9057, 0.43, 0.89, -0.22, -20.12, 5.18, 1.34, -66.02, -16.95, 0.60
9066, 0.44, 0.88, -0.20, -5.73, 3.29, 0.37, -66.02, -16.95, 0.60
9074, 0.44, 0.91, -0.15, 2.68, 1.89, -0.55, -64.82, -19.65, 0.15
9083, 0.43, 0.93, -0.17, -12.07, 2.62, 1.77, -65.12, -16.80, 0.45
9092, 0.44, 0.93, -0.17, -12.62, 2.87, 1.65, -64.67, -18.75, 0.30
9100, 0.43, 0.89, -0.15, -1.59, 1.40, 0.98, -65.72, -17.70, -0.45
9109, 0.43, 0.86, -0.15, 8.05, 0.00, -0.55, -65.27, -17.25, 0.60
9117, 0.42, 0.85, -0.11, 18.11, -1.40, -2.13, -62.72, -18.00, 2.10
9126, 0.45, 0.90, -0.10, 7.99, -0.85, -1.83, -62.72, -18.00, 2.10
9135, 0.44, 0.91, -0.14, -16.46, 1.95, 0.67, -64.37, -17.10, -0.30
9143, 0.44, 0.94, -0.18, -13.48, 2.13, 0.85, -64.97, -18.75, 0.30
9152, 0.44, 0.92, -0.19, -1.16, 0.73, -0.12, -64.22, -18.45, -0.45
9161, 0.44, 0.91, -0.17, 4.15, 0.91, -1.16, -65.72, -18.00, -0.45
9195, 0.44, 0.90, -0.17, -2.93, 2.01, -0.43, -63.17, -19.20, 2.10
9204, 0.43, 0.90, -0.17, -15.00, 3.96, 0.67, -65.12, -18.90, 1.80
9213, 0.42, 0.91, -0.18, -11.71, 3.72, 0.30, -63.47, -19.20, 2.10
9221, 0.42, 0.91, -0.16, -2.50, 2.74, 0.43, -64.67, -18.45, 1.35
9230, 0.44, 0.92, -0.15, 8.05, 4.70, 2.38, -63.62, -18.60, 1.80
9239, 0.46, 0.93, -0.20, 16.40, 4.33, 4.82, -64.07, -20.86, 2.55
9247, 0.45, 0.92, -0.17, 2.74, 7.01, 3.05, -64.97, -19.95, 2.10
9256, 0.43, 0.92, -0.15, 1.52, 6.22, 4.33, -63.32, -19.95, 2.10
9265, 0.43, 0.89, -0.17, 3.41, 8.48, 5.00, -63.32, -18.60, 1.50
9273, 0.47, 0.89, -0.17, -0.06, 9.76, 4.70, -65.12, -19.35, 2.55
9282, 0.43, 0.92, -0.15, -5.79, 7.87, 2.80, -64.07, -18.90, 3.30
9291, 0.43, 0.89, -0.15, -5.24, 7.07, 2.56, -64.82, -18.60, 2.25
9299, 0.43, 0.90, -0.11, -4.76, 5.98, 1.10, -65.57, -18.60, 3.30
9308, 0.44, 0.88, -0.12, -12.56, 6.83, 1.89, -65.72, -19.50, 2.40
9316, 0.41, 0.88, -0.13, -15.06, 9.45, 3.41, -64.22, -18.45, 2.40
9351, 0.44, 0.87, -0.17, -10.00, 14.57, 5.49, -63.92, -18.75, 2.10
9360, 0.45, 0.88, -0.16, -3.48, 18.35, 6.16, -63.17, -18.45, 4.20
9369, 0.47, 0.92, -0.17, -0.91, 16.22, 5.24, -64.22, -18.75, 3.45
9377, 0.46, 0.90, -0.15, -1.28, 12.32, 3.72, -64.97, -18.45, 2.70
9386, 0.45, 0.91, -0.13, -2.44, 10.98, 1.46, -65.72, -18.75, 3.15
9395, 0.47, 0.91, -0.12, -9.27, 11.34, 1.34, -65.72, -18.75, 3.15
9404, 0.46, 0.91, -0.13, -14.15, 12.20, 0.49, -64.97, -18.75, 2.40
9412, 0.46, 0.93, -0.14, -14.33, 11.89, -0.43, -65.87, -20.41, 4.05
9421, 0.48, 0.91, -0.14, -13.54, 13.66, -2.13, -65.27, -19.50, 2.40
9430, 0.46, 0.92, -0.14, -5.30, 11.10, -5.00, -64.67, -18.00, 2.10
9438, 0.46, 0.90, -0.15, 1.77, 8.60, -7.32, -64.67, -19.50, 3.15
9447, 0.44, 0.89, -0.15, 11.71, 6.59, -10.00, -64.97, -18.75, 2.40
9456, 0.44, 0.89, -0.15, 16.83, 4.21, -11.10, -64.97, -18.75, 2.40
9465, 0.43, 0.90, -0.13, 14.09, 3.35, -10.43, -64.82, -16.80, 0.45
9473, 0.43, 0.90, -0.12, 11.52, 2.32, -8.54, -64.07, -18.60, 2.25
9522, 0.42, 0.90, -0.10, 1.10, -0.49, -6.52, -64.37, -17.10, 3.30
9531, 0.41, 0.86, -0.09, -8.23, -3.29, -1.04, -64.82, -17.85, 1.50
9540, 0.43, 0.91, -0.09, -10.30, 0.79, 0.67, -66.47, -17.70, 2.40
9549, 0.43, 0.91, -0.14, -15.12, -2.38, 3.11, -66.47, -18.00, 1.35
9558, 0.45, 0.92, -0.11, -16.16, 0.49, 3.35, -63.92, -18.75, 1.35
9567, 0.44, 0.92, -0.16, -19.27, -4.51, 6.10, -65.72, -19.20, 1.65
9576, 0.42, 0.90, -0.15, -23.35, -12.99, 7.68, -64.67, -18.45, 1.65
9585, 0.45, 0.95, -0.13, -17.56, -29.45, 4.76, -64.67, -18.45, 0.60
9594, 0.44, 0.92, -0.18, -8.60, -47.68, -1.52, -64.37, -17.55, 1.80
9603, 0.45, 0.94, -0.17, -5.61, -62.74, -3.90, -65.72, -17.25, 1.65
9613, 0.46, 0.93, -0.15, -8.23, -66.52, -2.74, -66.02, -18.45, 2.70
9622, 0.44, 0.91, -0.16, -12.87, -63.48, -2.07, -66.62, -18.60, 1.80
9631, 0.44, 0.91, -0.13, -14.51, -54.57, -1.89, -66.62, -17.85, 1.20
9640, 0.46, 0.91, -0.12, -15.37, -39.51, -1.28, -64.37, -17.85, 1.50
9704, 0.44, 0.90, -0.09, -9.76, -19.82, -1.71, -65.12, -16.80, 1.50
9713, 0.45, 0.91, -0.10, -14.09, -2.07, 0.00, -64.37, -18.60, 3.30
9722, 0.44, 0.91, -0.12, -16.59, 12.32, 2.50, -64.37, -18.30, 1.20
9731, 0.44, 0.90, -0.13, -6.95, 18.78, 1.71, -65.57, -17.55, 1.20
9741, 0.45, 0.93, -0.10, -0.12, 18.48, 0.12, -64.67, -18.00, 1.65
9750, 0.45, 0.92, -0.12, 2.87, 13.66, -0.18, -65.72, -18.00, 2.40
9759, 0.44, 0.92, -0.12, 1.40, 6.46, -0.85, -64.67, -18.00, 3.15
9768, 0.43, 0.90, -0.12, 2.80, -1.10, -1.46, -64.82, -19.35, 2.25
9777, 0.42, 0.90, -0.13, 5.00, -7.32, -1.16, -65.27, -18.75, 3.75
9786, 0.43, 0.89, -0.13, 9.09, -9.63, -0.67, -65.27, -18.45, 3.15
9795, 0.43, 0.90, -0.13, 14.21, -9.33, -0.98, -65.27, -18.45, 3.15
9804, 0.44, 0.93, -0.11, 16.89, -6.34, -1.52, -64.07, -17.55, 3.30
9813, 0.45, 0.94, -0.08, 0.49, -1.46, 0.91, -64.67, -18.45, 1.65
9822, 0.43, 0.92, -0.14, -16.89, 3.96, 3.60, -65.57, -19.35, 2.55
9831, 0.42, 0.91, -0.15, -15.73, 6.40, 2.50, -65.27, -19.20, 1.65
9866, 0.42, 0.91, -0.15, -12.56, 6.40, 1.52, -64.22, -19.95, 3.75
9875, 0.42, 0.90, -0.16, -10.85, 5.30, 1.77, -64.22, -19.95, 3.75
9884, 0.41, 0.90, -0.17, -5.73, 2.99, 1.34, -65.57, -18.30, 4.35
9893, 0.41, 0.90, -0.15, 0.85, 0.37, 0.00, -66.62, -19.65, 4.35
9902, 0.43, 0.91, -0.13, 2.20, -2.13, -0.12, -65.12, -19.65, 4.05
9911, 0.42, 0.91, -0.13, 3.72, -3.72, -0.43, -64.22, -19.20, 3.15
9920, 0.44, 0.91, -0.12, 4.94, -3.96, -0.67, -65.27, -21.76, 4.20
9929, 0.45, 0.91, -0.09, -5.98, -2.38, 0.85, -64.97, -19.95, 4.50
9938, 0.44, 0.92, -0.10, -15.85, 3.41, 6.34, -65.57, -18.60, 3.60
9947, 0.45, 0.92, -0.08, -17.07, 12.44, 8.35, -65.12, -18.30, 4.05
9957, 0.45, 0.92, -0.10, -18.72, 13.78, 6.16, -64.97, -18.75, 3.75
9966, 0.43, 0.90, -0.09, -12.93, 13.78, 4.09, -63.92, -20.56, 4.80
9975, 0.44, 0.89, -0.14, -7.74, 13.78, 5.43, -63.92, -20.56, 4.80
9984, 0.44, 0.90, -0.13, 3.23, 14.15, 4.57, -63.47, -19.20, 5.25
9993, 0.45, 0.89, -0.12, 18.41, 11.83, 3.35, -64.67, -19.20, 3.15
10028, 0.47, 0.91, -0.10, 28.78, 11.28, 0.18, -62.42, -20.56, 4.80
10037, 0.47, 0.91, -0.12, 36.28, 16.77, -1.52, -63.62, -19.35, 4.35
10046, 0.35, 1.04, -0.02, 38.11, 21.34, -3.41, -64.37, -18.90, 4.35
10055, 0.53, 0.94, -0.07, 21.16, 25.79, 9.27, -64.37, -18.90, 4.35
10065, 0.54, 0.94, -0.05, -8.54, 23.54, 3.41, -64.82, -19.35, 4.35
10074, 0.46, 0.91, -0.13, -25.00, 19.57, 2.93, -64.07, -19.65, 4.35
10083, 0.45, 0.89, -0.16, -20.98, 21.28, 1.10, -65.57, -19.65, 2.85
10092, 0.43, 0.88, -0.16, -11.52, 20.73, 0.49, -64.82, -20.11, 2.85
10101, 0.42, 0.88, -0.16, -0.98, 20.12, 0.06, -63.47, -19.50, 3.15
10110, 0.43, 0.89, -0.16, 8.48, 21.40, 0.00, -64.67, -19.95, 4.20
10119, 0.42, 0.90, -0.14, 14.94, 22.13, -0.98, -64.07, -20.11, 2.85
10128, 0.44, 0.91, -0.11, 13.29, 22.93, -1.16, -64.37, -17.55, 2.85
10138, 0.44, 0.91, -0.11, 11.04, 28.96, -2.26, -63.92, -18.00, 3.15
10147, 0.38, 0.90, -0.03, 14.82, 34.88, -5.06, -64.07, -17.10, 1.50
10181, 0.41, 0.89, -0.15, 6.28, 18.54, -1.28, -64.82, -18.30, 3.30
10191, 0.38, 0.89, -0.12, 8.84, 15.06, 0.24, -65.87, -16.80, 4.05
10200, 0.43, 0.88, -0.12, 13.54, 17.07, 3.05, -64.82, -17.55, 3.30
10209, 0.42, 0.90, -0.15, 6.46, 13.05, 2.38, -65.27, -18.00, 3.45
10218, 0.43, 0.89, -0.13, 8.17, 15.30, 0.55, -64.82, -17.85, 3.30
10227, 0.45, 0.91, -0.11, 12.07, 14.63, -1.83, -65.27, -17.25, 1.35
10236, 0.45, 0.91, -0.13, 9.39, 12.74, -2.50, -64.97, -18.75, 3.15
10245, 0.46, 0.92, -0.13, 10.61, 14.09, -2.93, -64.97, -18.75, 3.15
10254, 0.44, 0.90, -0.12, 12.87, 13.05, -2.62, -65.87, -18.60, 2.55
10264, 0.47, 0.89, -0.11, 16.95, 12.20, -1.16, -65.27, -17.70, 1.35
10273, 0.48, 0.91, -0.09, 16.77, 11.52, -1.77, -65.12, -18.60, 2.85
10282, 0.47, 0.92, -0.10, 11.71, 9.82, -0.98, -65.27, -18.45, 2.40
10291, 0.47, 0.93, -0.11, 12.62, 7.62, -1.10, -65.72, -17.25, 3.75
10300, 0.48, 0.91, -0.10, 16.65, 6.04, -1.40, -64.82, -19.65, 3.30
10309, 0.48, 0.90, -0.10, 18.11, 2.99, -2.44, -64.07, -19.65, 2.55
10344, 0.48, 0.93, -0.11, 16.34, 0.00, -2.87, -65.12, -19.65, 4.05
10353, 0.49, 0.91, -0.09, 8.84, -2.01, -3.60, -65.57, -18.60, 3.30
10362, 0.48, 0.93, -0.08, 4.39, -5.30, -6.83, -64.97, -18.75, 3.75
10371, 0.48, 0.94, -0.11, -3.35, -10.73, -7.56, -66.17, -18.90, 3.30
10380, 0.47, 0.91, -0.11, -6.40, -15.43, -10.18, -65.87, -17.85, 4.35
10389, 0.43, 0.92, -0.15, -4.82, -19.88, -12.50, -65.87, -18.30, 2.55
10398, 0.43, 0.92, -0.16, -2.01, -21.52, -11.10, -65.57, -18.60, 4.05
10408, 0.42, 0.92, -0.15, -0.91, -22.68, -10.12, -65.12, -18.30, 2.55
10417, 0.43, 0.92, -0.16, 0.61, -19.21, -8.54, -64.82, -17.55, 3.30
10426, 0.43, 0.91, -0.13, 0.98, -15.30, -6.59, -65.57, -17.55, 5.10
10435, 0.43, 0.90, -0.12, 1.40, -11.95, -5.67, -65.57, -17.55, 5.10
10444, 0.41, 0.90, -0.13, 0.12, -9.45, -3.66, -65.27, -18.45, 4.20
10453, 0.41, 0.91, -0.15, -2.56, -6.95, -2.26, -64.97, -20.26, 3.45
10462, 0.42, 0.93, -0.12, -3.60, -3.66, -0.67, -65.72, -19.95, 4.20
10497, 0.43, 0.91, -0.11, -9.88, -3.66, 1.16, -63.62, -18.90, 4.05
10506, 0.42, 0.90, -0.12, -14.63, -5.61, 2.01, -64.22, -20.26, 3.75
10515, 0.43, 0.92, -0.15, -15.00, -7.50, 2.80, -64.22, -20.26, 3.75
10524, 0.43, 0.92, -0.13, -10.37, -9.33, 2.99, -64.37, -19.35, 2.85
10533, 0.43, 0.92, -0.13, -8.84, -9.39, 3.60, -63.92, -19.20, 3.45
10542, 0.43, 0.93, -0.14, -6.16, -6.83, 3.90, -63.92, -19.50, 2.40
10551, 0.43, 0.91, -0.13, -0.61, -2.01, 3.72, -64.07, -20.11, 4.05
10560, 0.43, 0.92, -0.11, 3.35, 0.85, 3.11, -66.47, -18.75, 4.20
10570, 0.44, 0.92, -0.10, 2.26, 2.99, 2.32, -64.07, -19.65, 3.30
10579, 0.44, 0.93, -0.10, -0.24, 4.63, 1.52, -64.82, -18.30, 4.05
10588, 0.46, 0.93, -0.12, -8.35, 5.55, 0.79, -65.27, -19.50, 5.25
10597, 0.44, 0.92, -0.13, -14.39, 7.74, 0.24, -64.97, -19.50, 2.40
10606, 0.42, 0.90, -0.12, -13.66, 7.44, -0.67, -65.87, -19.65, 4.05
10615, 0.42, 0.91, -0.12, -7.62, 8.23, -3.17, -65.87, -19.65, 4.05
10624, 0.40, 0.87, -0.13, -6.40, 9.88, -2.68, -63.92, -18.75, 3.75
10659, 0.43, 0.90, -0.11, -6.77, 10.55, -1.34, -64.82, -19.65, 1.80
10668, 0.43, 0.90, -0.13, -0.18, 6.65, -1.89, -63.47, -18.75, 2.70
10677, 0.46, 0.92, -0.10, 3.41, 3.05, -2.26, -64.37, -18.90, 1.50
10686, 0.41, 0.90, -0.14, 3.90, 4.15, -0.30, -65.27, -18.45, 2.40
10695, 0.42, 0.89, -0.13, 9.51, 8.29, 3.05, -65.27, -18.45, 2.40
10704, 0.42, 0.88, -0.10, 14.63, 8.72, 4.02, -65.12, -17.85, 2.55
10713, 0.43, 0.89, -0.10, 15.18, 9.94, 3.54, -64.67, -17.70, 1.65
10722, 0.43, 0.92, -0.10, 9.82, 11.04, 3.90, -63.62, -18.30, 2.25
10731, 0.45, 0.92, -0.09, 8.48, 11.16, 4.70, -65.72, -18.75, 1.65
10740, 0.47, 0.94, -0.13, -2.44, 11.10, 7.50, -65.57, -17.55, 1.80
10749, 0.46, 0.94, -0.11, -3.78, 11.22, 7.68, -65.27, -18.45, 1.05
10758, 0.46, 0.93, -0.11, 1.10, 7.68, 8.60, -64.82, -17.10, -0.60
10767, 0.48, 0.93, -0.09, 6.22, 4.45, 8.72, -65.72, -16.20, -0.45
10776, 0.49, 0.94, -0.08, 10.91, 1.59, 7.38, -65.72, -16.65, -0.75
10786, 0.46, 0.91, -0.11, 13.78, -2.07, 6.34, -64.82, -18.30, -0.30
10820, 0.59, 0.85, -0.03, 6.59, 1.34, 5.61, -64.22, -19.20, -0.75
10829, 0.49, 0.92, -0.08, -12.01, -5.30, 9.70, -64.22, -15.90, -1.20
10838, 0.45, 0.88, -0.11, -21.89, -2.68, 5.79, -64.67, -17.70, -0.75
10848, 0.44, 0.84, -0.13, -24.51, -4.15, 1.83, -66.02, -17.25, -0.45
10857, 0.39, 0.85, -0.14, -14.45, -4.76, -4.27, -66.47, -18.00, 1.05
10866, 0.42, 0.88, -0.16, -10.85, -5.24, -7.50, -64.37, -19.35, -0.30
10875, 0.42, 0.88, -0.18, -4.15, -6.89, -11.10, -64.37, -19.35, -0.30
10884, 0.42, 0.90, -0.17, 3.54, -8.78, -12.07, -63.17, -18.75, 0.60
10893, 0.43, 0.91, -0.16, 12.44, -12.01, -10.85, -64.22, -16.95, -1.20
10902, 0.42, 0.89, -0.12, 21.52, -11.16, -8.84, -65.57, -18.30, -0.30
10912, 0.42, 0.90, -0.10, 24.57, -13.29, -6.59, -63.92, -18.45, -1.20
10921, 0.43, 0.93, -0.08, 30.00, -14.70, -6.16, -64.82, -18.90, -1.35
10930, 0.43, 0.96, -0.10, 31.95, -13.72, -5.98, -64.07, -18.90, -0.90
10939, 0.44, 0.96, -0.07, 26.95, -15.79, -4.51, -64.67, -18.75, -1.80
10974, 0.47, 0.96, -0.05, 0.61, -15.06, -1.10, -61.82, -19.65, -0.90
10983, 0.43, 0.95, -0.12, -29.02, -15.49, 1.04, -63.02, -19.65, -1.95
10992, 0.44, 0.95, -0.11, -27.87, -17.13, 0.24, -60.62, -21.01, -4.35
11001, 0.43, 0.94, -0.09, -19.76, -23.35, -2.68, -60.62, -21.76, -4.65
11011, 0.42, 0.91, -0.15, -14.27, -26.10, -5.43, -60.17, -21.76, -5.40
11020, 0.39, 0.90, -0.17, -7.07, -23.29, -9.27, -59.71, -21.61, -4.50
11029, 0.39, 0.92, -0.12, 2.74, -20.91, -11.28, -60.92, -23.26, -2.85
11038, 0.40, 0.94, -0.12, 20.91, -17.38, -12.68, -61.37, -23.86, -1.20
11047, 0.40, 0.95, -0.09, 32.56, -7.93, -12.26, -62.72, -22.81, -1.20
11056, 0.44, 1.01, -0.07, 44.27, -4.57, -11.28, -62.57, -22.96, -0.30
11066, 0.45, 1.05, -0.07, 69.21, 1.83, -15.18, -63.47, -21.31, 0.00
11075, 0.47, 1.04, -0.08, 81.10, 4.15, -18.90, -63.47, -21.31, 0.00
11084, 0.48, 1.01, -0.12, 79.51, 9.82, -24.76, -62.42, -21.31, 1.35
11093, 0.43, 0.94, -0.11, 59.51, 12.38, -30.61, -64.07, -19.35, 0.45
11123, 0.39, 0.86, -0.18, -2.99, 11.52, -23.23, -63.17, -21.31, 1.65
11133, 0.36, 0.87, -0.23, -12.93, 12.32, -16.16, -63.92, -19.50, -0.45
11142, 0.42, 0.91, -0.21, -13.29, 18.90, -6.34, -64.07, -18.60, -0.90
11151, 0.45, 0.91, -0.23, 2.80, 30.91, 2.32, -63.92, -18.45, -1.50
